game,ply,move_number,side,fen_before,played_move,played_uci,best_uci,best_san,best_score_cp,after_score_cp,loss_cp,phase,is_capture,mate_event
200,16,8,Black,r1bqk1nr/pp3pb1/2npp1p1/2p3Np/4PP1P/2PP4/PP2B1P1/RNBQK2R b KQkq - 1 8,Nf6,g8f6,g8h6,Nh6,15,-13,28,opening,False,False
200,17,9,White,r1bqk2r/pp3pb1/2nppnp1/2p3Np/4PP1P/2PP4/PP2B1P1/RNBQK2R w KQkq - 2 9,O-O,e1g1,a2a4,a4,7,7,0,opening,False,False
200,18,9,Black,r1bqk2r/pp3pb1/2nppnp1/2p3Np/4PP1P/2PP4/PP2B1P1/RNBQ1RK1 b kq - 3 9,Qe7,d8e7,e8g8,O-O,-7,-28,21,opening,False,False
200,19,10,White,r1b1k2r/pp2qpb1/2nppnp1/2p3Np/4PP1P/2PP4/PP2B1P1/RNBQ1RK1 w kq - 4 10,Na3,b1a3,b1a3,Na3,32,31,1,opening,False,False
200,20,10,Black,r1b1k2r/pp2qpb1/2nppnp1/2p3Np/4PP1P/N1PP4/PP2B1P1/R1BQ1RK1 b kq - 5 10,Bd7,c8d7,e8g8,O-O,-32,-56,24,opening,False,False
200,21,11,White,r3k2r/pp1bqpb1/2nppnp1/2p3Np/4PP1P/N1PP4/PP2B1P1/R1BQ1RK1 w kq - 6 11,g3,g2g3,a3c4,Nc4,56,-7,63,opening,False,False
200,22,11,Black,r3k2r/pp1bqpb1/2nppnp1/2p3Np/4PP1P/N1PP2P1/PP2B3/R1BQ1RK1 b kq - 0 11,O-O-O,e8c8,f6g4,Ng4,7,-44,51,opening,False,False
200,23,12,White,2kr3r/pp1bqpb1/2nppnp1/2p3Np/4PP1P/N1PP2P1/PP2B3/R1BQ1RK1 w - - 1 12,Kg2,g1g2,a3c4,Nc4,45,-94,139,opening,False,False
200,24,12,Black,2kr3r/pp1bqpb1/2nppnp1/2p3Np/4PP1P/N1PP2P1/PP2B1K1/R1BQ1R2 b - - 2 12,d5,d6d5,f6g4,Ng4,80,-25,105,middlegame,False,False
200,25,13,White,2kr3r/pp1bqpb1/2n1pnp1/2pp2Np/4PP1P/N1PP2P1/PP2B1K1/R1BQ1R2 w - - 0 13,Nb5,a3b5,e4e5,e5,25,-31,56,middlegame,False,False
200,26,13,Black,2kr3r/pp1bqpb1/2n1pnp1/1Npp2Np/4PP1P/2PP2P1/PP2B1K1/R1BQ1R2 b - - 1 13,Kb8,c8b8,a7a6,a6,31,-110,141,middlegame,False,False
200,27,14,White,1k1r3r/pp1bqpb1/2n1pnp1/1Npp2Np/4PP1P/2PP2P1/PP2B1K1/R1BQ1R2 w - - 2 14,a4,a2a4,e4e5,e5,82,-14,96,middlegame,False,False
200,28,14,Black,1k1r3r/pp1bqpb1/2n1pnp1/1Npp2Np/P3PP1P/2PP2P1/1P2B1K1/R1BQ1R2 b - - 0 14,dxe4,d5e4,f6g4,Ng4,14,-6,20,middlegame,True,False
200,29,15,White,1k1r3r/pp1bqpb1/2n1pnp1/1Np3Np/P3pP1P/2PP2P1/1P2B1K1/R1BQ1R2 w - - 0 15,dxe4,d3e4,d3e4,dxe4,6,0,6,middlegame,True,False
200,30,15,Black,1k1r3r/pp1bqpb1/2n1pnp1/1Np3Np/P3PP1P/2P3P1/1P2B1K1/R1BQ1R2 b - - 0 15,e5,e6e5,d7c8,Bc8,0,-251,251,middlegame,False,False
200,31,16,White,1k1r3r/pp1bqpb1/2n2np1/1Np1p1Np/P3PP1P/2P3P1/1P2B1K1/R1BQ1R2 w - - 0 16,Qc2,d1c2,d1d6,Qd6+,293,-78,371,middlegame,False,False
200,32,16,Black,1k1r3r/pp1bqpb1/2n2np1/1Np1p1Np/P3PP1P/2P3P1/1PQ1B1K1/R1B2R2 b - - 1 16,exf4,e5f4,f6g4,Ng4,78,-484,562,middlegame,True,False
200,33,17,White,1k1r3r/pp1bqpb1/2n2np1/1Np3Np/P3Pp1P/2P3P1/1PQ1B1K1/R1B2R2 w - - 0 17,Bxf4+,c1f4,c1f4,Bxf4+,233,450,0,middlegame,True,False
200,34,17,Black,1k1r3r/pp1bqpb1/2n2np1/1Np3Np/P3PB1P/2P3P1/1PQ1B1K1/R4R2 b - - 0 17,Ka8,b8a8,c6e5,Ne5,-450,-648,198,middlegame,False,False
200,35,18,White,k2r3r/pp1bqpb1/2n2np1/1Np3Np/P3PB1P/2P3P1/1PQ1B1K1/R4R2 w - - 1 18,Qb3,c2b3,b5c7,Nc7+,648,120,528,middlegame,False,False
200,36,18,Black,k2r3r/pp1bqpb1/2n2np1/1Np3Np/P3PB1P/1QP3P1/1P2B1K1/R4R2 b - - 2 18,Ne5,c6e5,c6e5,Ne5,-317,-305,0,middlegame,False,False
200,37,19,White,k2r3r/pp1bqpb1/5np1/1Np1n1Np/P3PB1P/1QP3P1/1P2B1K1/R4R2 w - - 3 19,Bxe5,f4e5,b5c7,Nc7+,305,80,225,middlegame,True,False
200,38,19,Black,k2r3r/pp1bqpb1/5np1/1Np1B1Np/P3P2P/1QP3P1/1P2B1K1/R4R2 b - - 0 19,Qxe5,e7e5,e7e5,Qxe5,-73,-258,185,middlegame,True,False
200,39,20,White,k2r3r/pp1b1pb1/5np1/1Np1q1Np/P3P2P/1QP3P1/1P2B1K1/R4R2 w - - 0 20,Bf3,e2f3,g5f7,Nxf7,181,2,179,middlegame,False,False
200,40,20,Black,k2r3r/pp1b1pb1/5np1/1Np1q1Np/P3P2P/1QP2BP1/1P4K1/R4R2 b - - 1 20,Bg4,d7g4,f6g4,Ng4,-2,-166,164,middlegame,False,False
200,41,21,White,k2r3r/pp3pb1/5np1/1Np1q1Np/P3P1bP/1QP2BP1/1P4K1/R4R2 w - - 2 21,Nxf7,g5f7,a1d1,Rad1,95,-360,455,middlegame,True,False
200,42,21,Black,k2r3r/pp3Nb1/5np1/1Np1q2p/P3P1bP/1QP2BP1/1P4K1/R4R2 b - - 0 21,Rd2+,d8d2,d8d2,Rd2+,360,161,199,middlegame,False,False
200,43,22,White,k6r/pp3Nb1/5np1/1Np1q2p/P3P1bP/1QP2BP1/1P1r2K1/R4R2 w - - 1 22,Rf2,f1f2,g2h1,Kh1,-189,-417,228,middlegame,False,False
200,44,22,Black,k6r/pp3Nb1/5np1/1Np1q2p/P3P1bP/1QP2BP1/1P1r1RK1/R7 b - - 2 22,Bxf3+,g4f3,g4f3,Bxf3+,414,377,37,middlegame,True,False
200,45,23,White,k6r/pp3Nb1/5np1/1Np1q2p/P3P2P/1QP2bP1/1P1r1RK1/R7 w - - 0 23,Kg1,g2g1,g2f1,Kf1,-381,-1000,619,middlegame,False,True
200,46,23,Black,k6r/pp3Nb1/5np1/1Np1q2p/P3P2P/1QP2bP1/1P1r1R2/R5K1 b - - 1 23,Qxg3+,e5g3,e5g3,Qxg3+,1000,1000,0,middlegame,True,True
201,1,1,White,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,e2e4,e2e4,e4,30,33,0,opening,False,False
201,2,1,Black,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,e7e5,c7c5,c5,-35,-33,0,opening,False,False
201,3,2,White,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,g1f3,g1f3,Nf3,33,33,0,opening,False,False
201,4,2,Black,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d6,d7d6,g8f6,Nf6,-33,-48,15,opening,False,False
201,5,3,White,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d4,d2d4,d2d4,d4,48,49,0,opening,False,False
201,6,3,Black,rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,exd4,e5d4,e5d4,exd4,-43,-43,0,opening,True,False
201,7,4,White,rnbqkbnr/ppp2ppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Nxd4,f3d4,f3d4,Nxd4,43,47,0,opening,True,False
201,8,4,Black,rnbqkbnr/ppp2ppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Be7,f8e7,g8f6,Nf6,-47,-48,1,opening,False,False
201,9,5,White,rnbqk1nr/ppp1bppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,Bd3,f1d3,c1e3,Be3,48,48,0,opening,False,False
201,10,5,Black,rnbqk1nr/ppp1bppp/3p4/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq - 2 5,Nf6,g8f6,g8f6,Nf6,-48,-43,0,opening,False,False
201,11,6,White,rnbqk2r/ppp1bppp/3p1n2/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 3 6,Be3,c1e3,e1g1,O-O,43,17,26,opening,False,False
201,12,6,Black,rnbqk2r/ppp1bppp/3p1n2/8/3NP3/3BB3/PPP2PPP/RN1QK2R b KQkq - 4 6,Nbd7,b8d7,e8g8,O-O,-15,-51,36,opening,False,False
201,13,7,White,r1bqk2r/pppnbppp/3p1n2/8/3NP3/3BB3/PPP2PPP/RN1QK2R w KQkq - 5 7,Nf5,d4f5,d4f5,Nf5,51,66,0,opening,False,False
201,14,7,Black,r1bqk2r/pppnbppp/3p1n2/5N2/4P3/3BB3/PPP2PPP/RN1QK2R b KQkq - 6 7,Ne5,d7e5,e8g8,O-O,-66,-202,136,opening,False,False
201,15,8,White,r1bqk2r/ppp1bppp/3p1n2/4nN2/4P3/3BB3/PPP2PPP/RN1QK2R w KQkq - 7 8,Nxg7+,f5g7,f5g7,Nxg7+,305,163,142,opening,True,False
201,16,8,Black,r1bqk2r/ppp1bpNp/3p1n2/4n3/4P3/3BB3/PPP2PPP/RN1QK2R b KQkq - 0 8,Kf8,e8f8,e8f8,Kf8,-163,-172,9,opening,False,False
201,17,9,White,r1bq1k1r/ppp1bpNp/3p1n2/4n3/4P3/3BB3/PPP2PPP/RN1QK2R w KQ - 1 9,Bh6,e3h6,g7f5,Nf5,172,159,13,opening,False,False
201,18,9,Black,r1bq1k1r/ppp1bpNp/3p1n1B/4n3/4P3/3B4/PPP2PPP/RN1QK2R b KQ - 2 9,Kg8,f8g8,f8g8,Kg8,-159,-189,30,opening,False,False
201,19,10,White,r1bq2kr/ppp1bpNp/3p1n1B/4n3/4P3/3B4/PPP2PPP/RN1QK2R w KQ - 3 10,Nf5,g7f5,g7f5,Nf5,195,190,5,opening,False,False
201,20,10,Black,r1bq2kr/ppp1bp1p/3p1n1B/4nN2/4P3/3B4/PPP2PPP/RN1QK2R b KQ - 4 10,Bxf5,c8f5,c8f5,Bxf5,-195,-190,0,opening,True,False
201,21,11,White,r2q2kr/ppp1bp1p/3p1n1B/4nb2/4P3/3B4/PPP2PPP/RN1QK2R w KQ - 0 11,exf5,e4f5,e4f5,exf5,191,161,30,opening,True,False
201,22,11,Black,r2q2kr/ppp1bp1p/3p1n1B/4nP2/8/3B4/PPP2PPP/RN1QK2R b KQ - 0 11,Nfg4,f6g4,f6g4,Nfg4,-158,-152,0,opening,False,False
